"","date","positive_share","negative_share","ISMI"
"94",2014 Q3,0.13273471717582,0.106945923299561,0.0257887938762591
"95",2014 Q4,0.126222280188826,0.208875411653461,-0.0826531314646349
"96",2015 Q1,0.136137610561821,0.309638240275626,-0.173500629713806
"97",2015 Q2,0.139701526829916,0.252226701753,-0.112525174923084
"98",2015 Q3,0.185925946910677,0.2760418142157,-0.0901158673050227
"99",2015 Q4,0.140355312126957,0.255108489572361,-0.114753177445404
"100",2016 Q1,0.100106555997981,0.317473781616286,-0.217367225618305
"101",2016 Q2,0.0815560050216209,0.372691449295578,-0.291135444273957
"102",2016 Q3,0.0120782056028204,0.378271685240094,-0.366193479637273
"103",2016 Q4,0.0747080275754582,0.447537246350558,-0.3728292187751
"104",2017 Q1,0.101802557186489,0.439735728212226,-0.337933171025737
"105",2017 Q2,0.108791544598787,0.316330191123423,-0.207538646524636
"106",2017 Q3,0.0803384056848992,0.113714457025575,-0.0333760513406756
"107",2017 Q4,0.106530594993872,0.0996088860567717,0.0069217089370999
"108",2018 Q1,0.178070564632805,0.135332471691198,0.0427380929416077
"109",2018 Q2,0.248669032124616,0.0461964390841541,0.202472593040462
"110",2018 Q3,0.181996153967403,0.112477538539138,0.0695186154282652
"111",2018 Q4,0.369521664879213,0.106879232097422,0.262642432781791
"112",2019 Q1,0.362796118441144,0.120744027771718,0.242052090669426
"113",2019 Q2,0.328129823304975,0.0805962685369257,0.247533554768049
"114",2019 Q3,0.43623588610702,0.130031909671085,0.306203976435935
"115",2019 Q4,0.372972252352702,0.0961047853935512,0.276867466959151
"116",2020 Q1,0.0673421089266655,0.133629290476264,-0.0662871815495986
"117",2020 Q2,0.00658750487322332,0.121675732987441,-0.115088228114217
"118",2020 Q3,0.0139866184332682,0.102010436341518,-0.0880238179082498
"119",2020 Q4,0.0907597444938941,0.084144187489317,0.0066155570045771
"120",2021 Q1,0.22395554679507,0.0651029200574438,0.158852626737627
"121",2021 Q2,0.200055862454224,0.0533082986779219,0.146747563776302
"122",2021 Q3,0.208047708250183,0.0182314502713742,0.189816257978809
"123",2021 Q4,0.580131353073303,0.0193300253083837,0.56080132776492
"124",2022 Q1,0.689371469122318,0.0199336929584805,0.669437776163838
"125",2022 Q2,0.640236332400674,0.036781347528807,0.603454984871867
"126",2022 Q3,0.572847984511698,0.0227758397106902,0.550072144801008
"127",2022 Q4,0.434089824078685,0.0471604646745687,0.386929359404116
"128",2023 Q1,0.386095072011193,0.0674208282427849,0.318674243768408
"129",2023 Q2,0.419987794556774,0.0789586697573729,0.341029124799401
"130",2023 Q3,0.361047952030575,0.0226577506752845,0.33839020135529
"131",2023 Q4,0.293780578861533,0.141382410154638,0.152398168706895
"132",2024 Q1,0.0797926882013053,0.132660598609174,-0.0528679104078687
"133",2024 Q2,0.073336835615814,0.0886509255860926,-0.0153140899702786
"134",2024 Q3,0.0844414234532761,0.076678892240301,0.00776253121297514
"135",2024 Q4,0.094845899315134,0.150922365527711,-0.0560764662125766
"136",2025 Q1,0.109964635580164,0.0613876434730586,0.048576992107105
"137",2025 Q2,0.096649384641341,0.0330638431758799,0.063585541465461
"138",2025 Q3,0.128740533950883,0.0401822738458331,0.0885582601050499
"139",2025 Q4,0.417050629580235,0.123841978260191,0.293208651320044
"140",2026 Q1,0.0848382475193236,0.155608274227497,-0.0707700267081734
