"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","125156","","","","0"
"1997-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","126987","","","","0"
"1997-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","128594","","","","0"
"1998-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","128919","","","","0"
"1998-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","130845","","","","0"
"1998-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","132079","","","","0"
"1998-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","132884","","","","0"
"1999-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","135093","","","","0"
"1999-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","137094","","","","0"
"1999-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","139578","","","","0"
"1999-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","141744","","","","0"
"2000-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","143884","","","","0"
"2000-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","145903","","","","0"
"2000-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","148957","","","","0"
