"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5389","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5225","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4969","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5049","","","","0"
"2015-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5076","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5022","","","","0"
"2016-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4898","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4763","","","","0"
"2016-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4644","","","","0"
"2016-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4573","","","","0"
"2017-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4754","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4712","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4751","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4668","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4566","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4376","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4258","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4093","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","3944","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","3914","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","3657","","","","0"
